COPY_MUT_PROB,DISABLE_REACTION_SENSORS,EVENT_FILE,RANDOM_SEED,REACTION_SENSORS_NEUTRAL,change_rate,changing_env,average_generation,equals,equals_all_update,equals_odd+even,equals_odd+even_update,equals_update,genome_length,lineage_length,match_score_all,match_score_even,match_score_odd,match_score_odd_even,phenotype_all,phenotype_even,phenotype_odd,phenotype_task_order,plastic_odd_even,plastic_odd_even_update
0.0025,1,events-const-00.cfg,1077,0.0,u0,0,44610.7,False,None,False,None,None,113,1395,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1078,0.0,u0,0,30012,True,65915,True,65915,65915,107,1302,4,8,2,10,100010101,100010101,100010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1079,0.0,u0,0,31320.5,True,82808,True,82808,82808,112,1183,4,8,2,10,100010101,100010101,100010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1080,0.0,u0,0,29577.6,True,186265,True,186265,186265,108,1093,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1081,0.0,u0,0,30684.8,True,29913,True,29913,29913,112,1221,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1082,0.0,u0,0,33914.7,True,41311,True,41311,41311,112,1577,4,8,2,10,101010001,101010001,101010001,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1083,0.0,u0,0,24316,True,132268,True,132268,132268,124,1051,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1084,0.0,u0,0,30167.4,False,None,False,None,None,114,1420,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1085,0.0,u0,0,30786.3,False,None,False,None,None,108,1165,3,7,1,8,100010100,100010100,100010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1086,0.0,u0,0,32339,True,101989,True,101989,101989,110,1161,4,8,2,10,100010101,100010101,100010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1087,0.0,u0,0,27085.8,True,175051,True,175051,175051,105,1089,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1088,0.0,u0,0,28772.6,True,75139,True,75139,75139,110,1190,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1089,0.0,u0,0,32482.6,True,4640,True,4640,4640,90,1412,4,8,2,10,100010101,100010101,100010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1090,0.0,u0,0,30013.6,True,11101,True,11101,11101,110,1114,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1091,0.0,u0,0,19269,True,90230,True,90230,90230,133,872,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1092,0.0,u0,0,27073.8,True,32968,True,32968,32968,134,1342,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1093,0.0,u0,0,34298.8,True,41131,True,41131,41131,115,1377,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1094,0.0,u0,0,25313.7,False,None,False,None,None,751,1833,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1095,0.0,u0,0,29130.4,False,None,False,None,None,129,1798,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1096,0.0,u0,0,7373.46,False,None,False,None,None,199,1384,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1097,0.0,u0,0,25162.1,False,None,False,None,None,128,1475,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1098,0.0,u0,0,33137.5,True,96253,True,96253,96253,102,1351,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1099,0.0,u0,0,26546.5,False,None,False,None,None,115,1608,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1100,0.0,u0,0,16512.5,False,None,False,None,None,177,1744,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1101,0.0,u0,0,33447.2,False,None,False,None,None,99,1306,3,7,1,8,101010000,101010000,101010000,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1102,0.0,u0,0,30525.7,True,79048,True,79048,79048,107,1287,5,7,3,10,101010011,101010011,101010011,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1103,0.0,u0,0,31468.2,True,20776,True,20776,20776,118,1193,5,7,3,10,101010011,101010011,101010011,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1104,0.0,u0,0,29907.8,False,None,False,None,None,106,1904,3,7,1,8,101010000,101010000,101010000,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1105,0.0,u0,0,30632.9,True,24677,True,24677,24677,109,1373,4,6,4,10,100010011,100010011,100010011,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1106,0.0,u0,0,31758.4,False,None,False,None,None,108,1194,3,7,1,8,101010000,101010000,101010000,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1107,0.0,u0,0,30789.9,True,199226,True,199226,199226,104,1669,4,8,2,10,101010001,101010001,101010001,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1108,0.0,u0,0,20386.9,False,None,False,None,None,124,1847,2,6,2,8,100010000,100010000,100010000,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1109,0.0,u0,0,31670.3,False,None,False,None,None,96,1704,3,7,1,8,101010000,101010000,101010000,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1110,0.0,u0,0,27768.5,True,192628,True,192628,192628,125,1767,5,7,3,10,101010011,101010011,101010011,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-01.cfg,1111,0.0,u0,0,29434.5,True,16507,True,16507,16507,116,1242,4,6,4,10,100010011,100010011,100010011,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
